Mass,Radius,Lambda,Label,Curve_ID
1.1406462766161942,14.438102680726974,1166.7865362868067,0,H_0_4
1.2502883193928085,14.281141939956,675.6166122456586,0,H_0_4
1.3621256371786405,14.133423007928489,396.18159861393104,0,H_0_4
1.4745585299366522,13.989258344191192,235.65952667037413,0,H_0_4
1.585828754350325,13.843298083535679,142.4386893337433,0,H_0_4
1.694087940533559,13.691244970014177,87.65078122825007,0,H_0_4
1.797475230635084,13.529852304880524,55.019833631702944,0,H_0_4
1.8942123513819416,13.357869595087887,35.30330697784764,0,H_0_4
1.9826720489926672,13.174711228901899,23.196935288334814,0,H_0_4
2.0614661283186098,12.979429307994144,15.637513067873353,0,H_0_4
2.1294985211527977,12.772089197794953,10.829369742924314,0,H_0_4
2.186009389549782,12.554159242620443,7.714837303584681,0,H_0_4
2.230580345722767,12.326732052625008,5.658836038396709,0,H_0_4
2.263144694607406,12.091536066079474,4.275947168550792,0,H_0_4
2.2839444261059296,11.850420971622148,3.3289423972207683,0,H_0_4
1.1565433171535406,14.338089950146266,1046.5375284524284,0,H_0_15
1.2711531354093906,14.21524716892453,603.5102475741805,0,H_0_15
1.3876467099000829,14.097479347463175,353.11885367200233,0,H_0_15
1.5042036082312207,13.977671759341005,210.0094641911605,0,H_0_15
1.6188631426709443,13.85629726092917,127.20264816293377,0,H_0_15
1.7296115671361763,13.719542821586135,78.58934720215119,0,H_0_15
1.8344786383871243,13.572388538162164,49.629333340314474,0,H_0_15
1.9316431804571546,13.411731757698774,32.089371076545085,0,H_0_15
2.019507997332865,13.237171100516317,21.280368593276936,0,H_0_15
2.0967807908534977,13.046638207200822,14.49101829016152,0,H_0_15
2.162531142882688,12.842111644385964,10.14471722198802,0,H_0_15
2.2161929696436453,12.624973698633775,7.307206056742301,0,H_0_15
2.2575780670449404,12.396786885109604,5.417874719813631,0,H_0_15
2.286847653010923,12.15943788687055,4.135002095973829,0,H_0_15
2.304459324010202,11.915675046209094,3.248118725042072,0,H_0_15
1.1227956760860398,15.17874984848501,1654.5903893737245,0,H_0_18
1.2326855221848856,14.998348252751587,956.6241636251722,0,H_0_18
1.3453241310430017,14.834799376649665,559.8614626442935,0,H_0_18
1.4591750818786229,14.66998813866015,332.0352130466134,0,H_0_18
1.5725258729863472,14.509115151665641,199.91788590493687,0,H_0_18
1.6835493755023208,14.3454819515494,122.45608405763394,0,H_0_18
1.79037501483003,14.17337560469483,76.42985624054201,0,H_0_18
1.8911875034496144,13.990728073648688,48.69877867621898,0,H_0_18
1.9842950910553967,13.79688804807611,31.730077974320388,0,H_0_18
2.0682235566927,13.590947345100806,21.181681098707887,0,H_0_18
2.141774940903062,13.372992956756713,14.504935768147462,0,H_0_18
2.2040827641352374,13.145053826825682,10.204014940365283,0,H_0_18
2.2546213906374124,12.904621492347648,7.378988640732685,0,H_0_18
2.293217255793794,12.656688311727164,5.488861712986077,0,H_0_18
2.3200286600271895,12.402349264550427,4.200863785791475,0,H_0_18
2.3355000466420086,12.143442282512995,3.3076964338137507,0,H_0_18
1.1641292821082034,14.687822049897902,1214.001535565591,0,H_0_21
1.2844537496784023,14.526982407889687,678.183096946595,0,H_0_21
1.4060621529564685,14.382475810187838,387.13408931435845,0,H_0_21
1.5263284913186161,14.245144385492917,226.26532589796884,0,H_0_21
1.6425876302648355,14.102177111148446,135.79328439741323,0,H_0_21
1.7522860334089638,13.949945945998595,83.87224361816835,0,H_0_21
1.85312793477084,13.784468922430236,53.30491293315513,0,H_0_21
1.943211842156047,13.60292172187264,34.95658418296767,0,H_0_21
2.021111770422827,13.404627363256138,23.663470253822858,0,H_0_21
2.0859104196561487,13.189673443369285,16.53556969331133,0,H_0_21
2.1372123081571943,12.958756541625418,11.924641716974781,0,H_0_21
2.1750849383130357,12.714493017499287,8.871507308923912,0,H_0_21
2.200009501658639,12.458793445892619,6.804299670498468,0,H_0_21
2.2127773776300512,12.194179470495635,5.372317049846543,0,H_0_21
0.6417047355919844,7.741556539765076,407.0457664513664,1,Q_1_17
0.705819378084605,7.978763447937487,296.98444888822985,1,Q_1_17
0.7736350270839598,8.212877383331117,217.96293388490625,1,Q_1_17
0.8449009716809242,8.441959930290883,160.96048910597506,1,Q_1_17
0.9193266877527304,8.666160180345553,119.64690889809332,1,Q_1_17
0.9964869241397869,8.883067371480262,89.55083681202899,1,Q_1_17
1.0759522103234638,9.091993646986582,67.50815313125166,1,Q_1_17
1.1571998945233588,9.292463194127327,51.27697060209749,1,Q_1_17
1.2396475692669964,9.482446344078607,39.25237504306912,1,Q_1_17
1.3226688921658611,9.661946391395595,30.293844419401275,1,Q_1_17
1.4056607289147365,9.830200142365761,23.578306418793787,1,Q_1_17
1.4878576780718789,9.984481651217356,18.50810288926162,1,Q_1_17
1.5687126238539455,10.126616291036054,14.658948809707509,1,Q_1_17
1.6475390073770806,10.25490545172203,11.71574348572497,1,Q_1_17
1.7237573597300355,10.369699640561688,9.4506269424018,1,Q_1_17
1.796760836683065,10.469551533503576,7.69445461551365,1,Q_1_17
1.86608633750067,10.555630046828918,6.3244319989843,1,Q_1_17
1.9312815024677958,10.62727647197136,5.247801635833637,1,Q_1_17
1.9919757374535854,10.68460516173682,4.395866868368635,1,Q_1_17
2.0478935770493925,10.728442987885543,3.717508612978989,1,Q_1_17
2.098783585066013,10.758542078033166,3.173491067094883,1,Q_1_17
2.144537790746775,10.775620106040343,2.7344236682387706,1,Q_1_17
2.1850665368588955,10.78014741645772,2.3778265933796643,1,Q_1_17
2.220378360116921,10.772915456589436,2.0865158530241237,1,Q_1_17
2.2505126621555194,10.754404607088787,1.8471508705090227,1,Q_1_17
2.2755881480215026,10.725410105342641,1.6494394021929657,1,Q_1_17
2.295756138305507,10.68677084244578,1.4853695468702286,1,Q_1_17
2.311210417143621,10.639260645861897,1.3486272864362567,1,Q_1_17
2.322169258580798,10.58349335463236,1.2342000191920066,1,Q_1_17
2.328889369241654,10.52039390599615,1.1381791372526617,1,Q_1_17
0.7855477661316118,8.683033468196667,280.2927310785998,1,Q_1_18
0.8568081881672538,8.918864357080167,208.01029778460438,1,Q_1_18
0.9310443234102888,9.147887254535457,155.40691433153947,1,Q_1_18
1.0078105336758492,9.368745708777332,116.92961861063834,1,Q_1_18
1.0866752650711522,9.581110258460127,88.62909241532897,1,Q_1_18
1.167082182300361,9.782902499532922,67.69296214662863,1,Q_1_18
1.24845408911474,9.973766310527717,52.11337508588778,1,Q_1_18
1.3301677544171433,10.152849220749433,40.451514079998795,1,Q_1_18
1.4116071222274866,10.319610205977877,31.667440544723398,1,Q_1_18
1.491988578248958,10.471068922257679,25.003585143666356,1,Q_1_18
1.5708082927390052,10.609230334202426,19.919166083856716,1,Q_1_18
1.6473799639553384,10.732816575116514,16.01283639713627,1,Q_1_18
1.7211248361706972,10.840608051212127,12.989655800543174,1,Q_1_18
1.7914911964339804,10.933665777861032,10.635923707273207,1,Q_1_18
1.8580122714325173,11.011571883814952,8.790240344830048,1,Q_1_18
1.9202734277172666,11.07444950890308,7.3331214508888465,1,Q_1_18
1.9779197916547944,11.122150154513653,6.174631784562833,1,Q_1_18
2.030701283644802,11.155479074260413,5.247780552395668,1,Q_1_18
2.0784458678107205,11.174984456119194,4.501537791410042,1,Q_1_18
2.120945810715327,11.180456310767585,3.896477030652166,1,Q_1_18
2.1582501478999827,11.17321161841045,3.403193515589681,1,Q_1_18
2.190346977105614,11.154047531047498,2.9987588661805584,1,Q_1_18
2.217303546684999,11.123351040854319,2.665248084491645,1,Q_1_18
2.23925184388344,11.082111800053282,2.388894343877637,1,Q_1_18
2.2563574429681257,11.030912319115266,2.15874692211374,1,Q_1_18
2.268832572390797,10.971190119835423,1.9665483469459184,1,Q_1_18
2.276907964432308,10.903225131246296,1.8053009405849167,1,Q_1_18
2.2808438081202365,10.828263226466008,1.6698001481727183,1,Q_1_18
